ID,sex,age,body_mass,group,o2_intercept,o2_slope,o2_intercept_y,o2_slope_y,tt4_d,t_100,mss,cmj,D,asr,srr,vo2_max_abs,re_14,mas,v_3,cs
SE1208,male,35.08493151,77.4,3,-74.26680568,261.7065557,425.1154277,222.4880557,1216,13.5,8.236111111,0.34,148,3.375,1.694285714,4.965747005,194.0502381,4.861111111,4.052403467,4.38
LA1404,male,20.46575342,63,2,-193.0778504,226.8693735,306.5906941,196.12054,1397,13.76,8.008333333,0.33,105,2.186111111,1.375477099,4.947695591,201.5900624,5.822222222,5.131111111,5.22
KA1406,male,25.30410959,67.6,1,-294.5357397,260.1405317,366.4038587,213.8747598,1439,11.92,9.105555556,0.45,215.6666667,3.688888889,1.681025641,4.802908449,204.6660971,5.416666667,4.604166667,4.97
WM0403,female,19.57808219,54.8,1,-13.61443333,195.052311,310.7071429,167.4589833,1149,14.28,8.016666667,0.29,147.3333333,3.35,1.717857143,3.258207511,220.0896673,4.666666667,3.590686275,4.13
JP1906,male,25.29041096,66.6,2,-447.9750545,234.3729507,321.3234948,183.982216,1433,13.27,8.413888889,0.33,107.3333333,2.858333333,1.5145,4.140702574,182.4620412,5.555555556,4.997584541,5.25
PE1605,female,25.40821918,65.6,1,179.8878321,215.2391868,331.2413684,202.9672785,1192,14.84,7.455033333,,145.6666667,2.557811111,1.522298355,3.816272606,216.2314294,4.897222222,4.040570175,4.26
SJ1006,male,21.31232877,77.2,1,131.5222057,264.6346507,327.5683195,249.9028619,1313,13.53,8.355555556,0.33,156.3333333,2.980555556,1.554521964,5.167573758,218.476606,5.375,4.205653021,4.55
ST0412,male,16.82465753,56,1,-158.8098741,220.718653,294.3395913,186.6669591,1285,13.22,8.277777778,0.35,177.6666667,2.813888889,1.514997458,3.911054361,229.355561,5.463888889,4.321256039,4.56
RJ1612,male,19.79178082,67,2,598.6220407,206.0849281,411.5383261,219.1807881,1335,13.69,8,0.37,130,2.605555556,1.483007209,4.785701098,225.2712,5.394444444,,4.83
SL2009,male,19.05479452,61.8,1,387.9483325,182.1931899,494.5320623,174.7323288,1336,13.07,7.575708333,,177.6666667,1.881263889,1.330368293,4.078273831,204.881474,5.694444444,4.706284153,4.64
AA0509,female,22.13150685,51,3,-81.05021563,180.419143,270.4491503,150.5135249,1205,14.84,7.391111111,0.23,166,2.541111111,1.523940435,2.883257977,208.6711218,4.85,3.813603323,4.22
IV2507,male,18.32328767,69.8,1,-102.0334907,254.7120446,345.6553509,219.5532351,1308,12.33,9.186111111,0.38,243.3333333,4.058333333,1.791440953,4.311566989,209.6321231,5.127777778,3.930627519,4.26
WV0510,female,40.13150685,66.2,3,145.919662,193.7403616,327.0329706,178.3312145,1123,15.75,7.012558333,0.25,120,2.370891667,1.51078456,3.298277081,188.0937411,4.641666667,3.708333333,4.11
PS2810,male,29.02739726,75.2,2,353.504792,214.2013107,304.5996792,217.6246686,1331,13.28,8.424902778,0.31,94.33333333,2.811013889,1.500724889,4.837780165,190.0360501,5.613888889,4.533639144,5.03
AL1606,male,37.39726027,69,3,-397.3706339,238.2711204,244.6147885,191.4657025,1322,13.83,7.821527778,0.32,157,2.090972222,1.364881241,4.567253388,179.1360741,5.730555556,4.367283951,4.73
SP2206,female,23.47945205,52.7,1,49.66974153,165.1114266,298.4262528,145.5755749,1187,14.84,7.329888889,0.26,91,2.041,1.385903361,3.062792896,192.0168657,5.288888889,4.136253041,4.46
HS2601,female,20.88219178,55.2,1,-55.79730133,182.335503,352.4083504,151.6240424,1176,14.05,7.937733333,0.27,168.6666667,3.146066667,1.656570435,3.001436235,,4.791666667,4.174776967,4.25
FF1107,female,16.42191781,46,1,292.0058859,145.5338062,306.0921495,144.3353448,1157,13.63,8.246125,0.31,167.3333333,3.198902778,1.633794717,2.811310217,216.0239575,5.047222222,3.760802469,4.14
HL1301,female,24.92054795,58.1,3,201.6150575,176.6219437,328.2218304,165.8502208,1091,16.83,6.726513889,0.18,101,1.945958333,1.407056944,3.165336035,199.4463276,4.780555556,3.76580173,4.11
GC2408,female,17.30410959,61.2,1,628.0653725,157.5706644,405.5321391,176.5038248,1156,13.41,8.523230556,0.34,184.3333333,3.834341667,1.817750592,3.328702193,200.451398,4.688888889,3.770576132,4.00
LB0303,male,17.78082192,59.9,2,-46.85031663,224.2191762,332.834062,193.012241,1205,13.18,8.965705556,0.31,244,3.699038889,1.702349156,3.783193292,223.8675106,5.266666667,3.704710145,4.21
KL1507,male,21.38082192,69.6,1,-121.8727635,246.9740354,355.3207141,213.570492,1327,12.37,8.934419444,0.39,182.3333333,3.331641667,1.594641051,4.662504295,207.0034508,5.602777778,4.714912281,4.70
HJ1011,female,29.07123288,57.6,2,-48.07233229,169.6591579,322.4671618,141.8151497,1207,15.26,7.508666667,0.27,105.6666667,2.369777778,1.461145946,3.280586672,174.7731125,5.138888889,4.247757074,4.53
SC2404,male,36.61369863,74.2,3,194.179561,231.2002584,401.7443942,216.6707201,1264,14.77,7.513136111,0.28,113.6666667,2.143691667,1.399239007,4.689838091,198.6578118,5.369444444,4.47954823,4.75
KT1809,female,33.21643836,66.8,3,337.8757201,188.3744191,356.7665223,186.8908482,1192,14.97,7.338827778,0.32,155.3333333,2.569383333,1.538717531,3.526504181,193.5981366,4.769444444,4.091880342,4.17
SJ0507,female,29.41369863,58.2,3,-79.33726027,205.1671131,268.7618224,176.5562296,1049,14.86,7.691913889,0.24,69.66666667,3.247469444,1.730680625,3.108390419,201.4530425,4.444444444,3.665521191,4.20
FJ1809,female,24.12876712,49.8,2,-465.2846491,194.0691633,255.8669875,134.7964261,1150,15.83,6.99915,0.22,132,2.288038889,1.485668632,2.674688192,192.2733695,4.711111111,3.804093567,4.21
EF0410,male,20.08219178,58.6,1,-300.3770672,244.9931478,313.1155583,198.3533576,1270,12.72,9.005930556,0.41,200.6666667,3.311486111,1.581529268,4.208002559,228.562053,5.694444444,4.041666667,4.42
VK3004,female,24.51780822,59,3,-130.1626971,200.2034661,290.0941099,167.1990049,1208,14.17,8.058408333,0.3,146,2.863963889,1.551351337,3.511070356,193.9874416,5.194444444,4.109392898,4.34
GS2107,male,28.29315068,63.2,3,-124.6815731,224.5486158,385.0892113,187.382609,1322,13.29,8.362330556,0.36,167.3333333,2.667886111,1.468506829,4.149074505,207.3691741,5.694444444,4.128614916,4.71
SF2004,male,26.54520548,65.2,2,-72.65820714,228.1498466,436.4813827,194.8000918,1365,14.46,7.583333333,0.23,97.66666667,1.819444444,1.315662651,4.409271625,203.2340082,5.763888889,4.766589506,5.18
FY2803,male,32.61369863,58.8,3,-26.8580986,220.354174,186.0354895,205.8727494,1327,13,8.599211111,0.33,112,2.626988889,1.439867907,4.427921345,225.3848043,5.972222222,4.530723906,5.06
BC0611,female,20.99671204,49.8,2,-85.80162413,188.1536656,270.0114499,160.2102305,1141,16.5,6.668411111,0.17,111,1.871188889,1.390056746,2.985096259,218.5473439,4.797222222,3.92384106,4.29
MM2405,male,19.44931507,68.2,2,-173.5508969,255.7759874,451.4244431,211.5858119,,12.4,8.961236111,0.37,165.6666667,3.161236111,1.545040709,4.80049352,211.9605077,5.8,,4.86
MJP1611,male,26.9890411,69.2,2,-159.8553058,244.1951585,327.6723786,208.6508359,1351,12.14,9.394772222,,145.3333333,3.641994444,1.6330845,4.463246892,206.1842548,5.752777778,,4.85
ZM3103,male,23.59726027,81.8,1,366.657475,242.9930715,465.4185752,235.2369642,1286,12.04,9.417119444,0.38,159.6666667,4.058786111,1.757471747,4.692727748,195.6962913,5.358333333,4.102733686,4.39
BE1110,male,28.06849315,50.8,2,389.7513888,146.5489991,325.3622032,150.7666314,1392,13.12,8.5277,0.27,165.3333333,2.4277,1.397983607,3.510341748,210.2761607,6.1,4.73880597,5.11
WB2110,male,22.03835616,70.6,1,360.6213927,224.3248718,438.9082653,218.4420432,1354,12.26,9.037216667,0.44,258,3.398327778,1.602659113,4.649806041,212.8839864,5.638888889,4.126602564,4.49
HA2610,male,35.03561644,66.6,3,-634.1881339,282.2017262,216.4965668,220.1806094,1218,15.48,7.106416667,0.28,99.33333333,1.956416667,1.379886731,4.450473349,209.3720051,5.15,4.415708812,4.59
